propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-01,2022-04-01 14:50:26.863000+00:00,2022-04-01 15:39:34.664000+00:00,Geneva Cointrin International Airport,Paris-Le Bourget Airport,49min,49.12,3.7,410.0,CH,FR,Geneva Cointrin International Airport - Paris-Le Bourget Airport,LSGG,LFPB,46.239807,6.11148,48.966797,2.431148,416.0,46.0,output\F-GVMA\2022-04-01\leg_2\F-GVMA_2022-04-01_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-01,2022-04-01 06:03:37.564000+00:00,2022-04-01 07:05:43.064000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,1h02min,62.08,4.7,410.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.972244,2.451641,46.244434,6.118286,54.0,415.0,output\F-GVMA\2022-04-01\leg_1\F-GVMA_2022-04-01_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-30,2022-03-30 14:51:10.650000+00:00,2022-03-30 15:32:04.250000+00:00,Brussels Airport,Paris-Le Bourget Airport,41min,40.88,3.1,260.0,BE,FR,Brussels Airport - Paris-Le Bourget Airport,EBBR,LFPB,50.901169,4.463418,48.967209,2.432697,31.0,54.0,output\F-GVMA\2022-03-30\leg_3\F-GVMA_2022-03-30_leg_3.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-30,2022-03-30 07:17:08.150000+00:00,2022-03-30 07:54:13.850000+00:00,Paris-Le Bourget Airport,Brussels Airport,37min,37.08,2.8,261.0,FR,BE,Paris-Le Bourget Airport - Brussels Airport,LFPB,EBBR,48.964142,2.428824,50.893839,4.494247,52.0,45.0,output\F-GVMA\2022-03-30\leg_1\F-GVMA_2022-03-30_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-24,2022-03-24 15:32:02.774000+00:00,2022-03-24 17:36:49.475000+00:00,A/C in cruise,Paris-Le Bourget Airport,2h05min,124.77,9.4,1616.0,A/C in cruise,FR,A/C in cruise - Paris-Le Bourget Airport,A/C in cruise,LFPB,45.793808,23.386409,48.966843,2.431359,6024.0,46.0,output\F-GVMA\2022-03-24\leg_2\F-GVMA_2022-03-24_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-24,2022-03-24 05:31:02.475000+00:00,2022-03-24 07:19:25.274000+00:00,Paris-Le Bourget Airport,A/C in cruise,1h48min,108.37,8.1,1612.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.964109,2.428412,46.053314,23.468472,46.0,4668.0,output\F-GVMA\2022-03-24\leg_1\F-GVMA_2022-03-24_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-22,2022-03-22 11:13:14.188000+00:00,2022-03-22 17:13:18.488000+00:00,Montreal / Pierre Elliott Trudeau International Airport,Paris-Le Bourget Airport,6h00min,360.07,27.0,5533.0,CA,FR,Montreal / Pierre Elliott Trudeau International Airport - Paris-Le Bourget Airport,CYUL,LFPB,45.471388,-73.72342,48.966856,2.431448,146.0,54.0,output\F-GVMA\2022-03-22\leg_1\F-GVMA_2022-03-22_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-21,2022-03-21 13:42:27.346000+00:00,2022-03-21 20:13:11.546000+00:00,Paris-Le Bourget Airport,Montreal / Pierre Elliott Trudeau International Airport,6h31min,390.73,29.3,5532.0,FR,CA,Paris-Le Bourget Airport - Montreal / Pierre Elliott Trudeau International Airport,LFPB,CYUL,48.964063,2.427545,45.47937,-73.712899,94.0,74.0,output\F-GVMA\2022-03-21\leg_1\F-GVMA_2022-03-21_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-17,2022-03-17 15:41:51.304000+00:00,2022-03-17 16:19:46.304000+00:00,Brussels Airport,Paris-Le Bourget Airport,38min,37.92,2.8,261.0,BE,FR,Brussels Airport - Paris-Le Bourget Airport,EBBR,LFPB,50.905012,4.4767,48.967392,2.433472,59.0,54.0,output\F-GVMA\2022-03-17\leg_2\F-GVMA_2022-03-17_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-17,2022-03-17 08:28:58.804000+00:00,2022-03-17 09:01:19.604000+00:00,Paris-Le Bourget Airport,Brussels Airport,32min,32.33,2.4,262.0,FR,BE,Paris-Le Bourget Airport - Brussels Airport,LFPB,EBBR,48.964156,2.428918,50.908264,4.487989,81.0,39.0,output\F-GVMA\2022-03-17\leg_1\F-GVMA_2022-03-17_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-13,2022-03-13 17:16:24.544000+00:00,2022-03-13 18:03:52.644000+00:00,Chambery-Savoie Airport,Paris-Le Bourget Airport,47min,47.47,3.6,452.0,FR,FR,Chambery-Savoie Airport - Paris-Le Bourget Airport,LFLB,LFPB,45.642242,5.879896,48.964668,2.438531,762.0,46.0,output\F-GVMA\2022-03-13\leg_2\F-GVMA_2022-03-13_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-13,2022-03-13 14:09:02.843000+00:00,2022-03-13 15:03:28.544000+00:00,Paris-Le Bourget Airport,Chambery-Savoie Airport,54min,54.42,4.1,453.0,FR,FR,Paris-Le Bourget Airport - Chambery-Savoie Airport,LFPB,LFLB,48.964142,2.428894,45.63533,5.880449,53.0,476.0,output\F-GVMA\2022-03-13\leg_1\F-GVMA_2022-03-13_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-06,2022-03-06 19:07:44.843000+00:00,2022-03-06 20:03:49.443000+00:00,Chambery-Savoie Airport,Paris-Le Bourget Airport,56min,56.07,4.2,446.0,FR,FR,Chambery-Savoie Airport - Paris-Le Bourget Airport,LFLB,LFPB,45.703354,5.875006,48.9673,2.43319,1268.0,54.0,output\F-GVMA\2022-03-06\leg_1\F-GVMA_2022-03-06_leg_1.csv
