propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-23,2022-05-23 15:18:18.455000+00:00,2022-05-23 15:50:41.455000+00:00,Nice-Côte d'Azur Airport,Milano Linate Airport,32min,32.38,2.4,257.0,FR,IT,Nice-Côte d'Azur Airport - Milano Linate Airport,LFMN,LIML,43.661407,7.222936,45.444108,9.27715,329.0,108.0,output\F-HFHP\2022-05-23\leg_1\F-HFHP_2022-05-23_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-22,2022-05-22 07:16:32.582000+00:00,2022-05-22 08:47:16.582000+00:00,London Luton Airport,Nice-Côte d'Azur Airport,1h31min,90.73,6.8,1075.0,GB,FR,London Luton Airport - Nice-Côte d'Azur Airport,EGGW,LFMN,51.874969,-0.366557,43.657713,7.212132,165.0,20.0,output\F-HFHP\2022-05-22\leg_1\F-HFHP_2022-05-22_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-20,2022-05-20 13:26:17.184000+00:00,2022-05-20 14:16:52.184000+00:00,Paris-Le Bourget Airport,London Luton Airport,51min,50.58,3.8,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.972256,2.451614,51.875579,-0.36293,61.0,159.0,output\F-HFHP\2022-05-20\leg_1\F-HFHP_2022-05-20_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-13,2022-05-13 21:02:51.250000+00:00,2022-05-14 03:28:03.374000+00:00,Teterboro Airport,Paris-Le Bourget Airport,6h25min,385.2,28.9,5848.0,US,FR,Teterboro Airport - Paris-Le Bourget Airport,KTEB,LFPB,40.852432,-74.059387,48.967461,2.433689,67.0,54.0,output\F-HFHP\2022-05-13\leg_1\F-HFHP_2022-05-13_leg_1_merged.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-08,2022-05-08 07:37:46.641000+00:00,2022-05-08 14:49:09.241000+00:00,Paris-Le Bourget Airport,Teterboro Airport,7h11min,431.37,32.4,5849.0,FR,US,Paris-Le Bourget Airport - Teterboro Airport,LFPB,KTEB,48.965645,2.427039,40.850006,-74.065491,95.0,6.0,output\F-HFHP\2022-05-08\leg_1\F-HFHP_2022-05-08_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-06,2022-05-06 11:39:59.892000+00:00,2022-05-06 12:31:05.192000+00:00,London Luton Airport,Paris-Le Bourget Airport,51min,51.08,3.8,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.875198,-0.365221,48.964508,2.435584,209.0,46.0,output\F-HFHP\2022-05-06\leg_2\F-HFHP_2022-05-06_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-06,2022-05-06 01:03:54.491000+00:00,2022-05-06 10:17:08.592000+00:00,San Francisco International Airport,London Luton Airport,9h13min,553.23,41.5,8610.0,US,GB,San Francisco International Airport - London Luton Airport,KSFO,EGGW,37.615465,-122.361782,51.875486,-0.363693,1.0,162.0,output\F-HFHP\2022-05-06\leg_1\F-HFHP_2022-05-06_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-03,2022-05-03 09:29:26.840000+00:00,2022-05-03 19:12:45.141000+00:00,London Luton Airport,San Francisco International Airport,9h43min,583.3,43.7,8610.0,GB,US,London Luton Airport - San Francisco International Airport,EGGW,KSFO,51.873642,-0.374129,37.616547,-122.36432,221.0,2.0,output\F-HFHP\2022-05-03\leg_2\F-HFHP_2022-05-03_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-02,2022-05-02 15:58:36.159000+00:00,2022-05-02 16:52:09.459000+00:00,Paris-Le Bourget Airport,London Luton Airport,54min,53.55,4.0,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.964005,2.4265,51.875107,-0.365741,125.0,166.0,output\F-HFHP\2022-05-02\leg_1\F-HFHP_2022-05-02_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-21,2022-04-21 10:03:32.133000+00:00,2022-04-21 10:52:03.233000+00:00,London Luton Airport,Paris-Le Bourget Airport,49min,48.52,3.6,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.873717,-0.37384,48.966293,2.429317,245.0,58.0,output\F-HFHP\2022-04-21\leg_1\F-HFHP_2022-04-21_leg_1.csv
