propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-24,2022-03-24 14:41:23.245000+00:00,2022-03-24 16:05:23.544000+00:00,Adolfo Suarez Madrid-Barajas Airport,Paris-Le Bourget Airport,1h24min,84.0,6.6,1051.0,ES,FR,Adolfo Suarez Madrid-Barajas Airport - Paris-Le Bourget Airport,LEMD,LFPB,40.514971,-3.559258,48.965424,2.426077,772.0,58.0,output\F-GBOL\2022-03-24\leg_1\F-GBOL_2022-03-24_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-23,2022-03-23 16:24:15.129000+00:00,2022-03-23 17:51:09.330000+00:00,Paris-Le Bourget Airport,Adolfo Suarez Madrid-Barajas Airport,1h27min,86.9,6.8,1050.0,FR,ES,Paris-Le Bourget Airport - Adolfo Suarez Madrid-Barajas Airport,LFPB,LEMD,48.964156,2.428774,40.529343,-3.559326,91.0,615.0,output\F-GBOL\2022-03-23\leg_2\F-GBOL_2022-03-23_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-20,2022-03-20 17:36:11.645000+00:00,2022-03-20 18:58:55.345000+00:00,Venice Marco Polo Airport,Paris-Le Bourget Airport,1h23min,82.72,6.5,843.0,IT,FR,Venice Marco Polo Airport - Paris-Le Bourget Airport,LIPZ,LFPB,45.502997,12.34937,48.966623,2.430725,109.0,62.0,output\F-GBOL\2022-03-20\leg_1\F-GBOL_2022-03-20_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-18,2022-03-18 16:58:21.028000+00:00,2022-03-18 17:40:06.628000+00:00,Ciampino G. B. Pastine International Airport,Venice Marco Polo Airport,42min,41.75,3.3,410.0,IT,IT,Ciampino G. B. Pastine International Airport - Venice Marco Polo Airport,LIRA,LIPZ,41.803584,12.591865,45.492783,12.335946,227.0,44.0,output\F-GBOL\2022-03-18\leg_1\F-GBOL_2022-03-18_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-17,2022-03-17 16:52:49.682000+00:00,2022-03-17 17:39:06.582000+00:00,Milano Linate Airport,Ciampino G. B. Pastine International Airport,46min,46.27,3.6,485.0,IT,IT,Milano Linate Airport - Ciampino G. B. Pastine International Airport,LIML,LIRA,45.442339,9.277284,41.804142,12.591482,119.0,116.0,output\F-GBOL\2022-03-17\leg_2\F-GBOL_2022-03-17_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-17,2022-03-17 05:17:06.481000+00:00,2022-03-17 06:17:44.882000+00:00,Paris-Le Bourget Airport,Milano Linate Airport,1h01min,60.63,4.7,649.0,FR,IT,Paris-Le Bourget Airport - Milano Linate Airport,LFPB,LIML,48.971837,2.45024,45.442386,9.277284,62.0,110.0,output\F-GBOL\2022-03-17\leg_1\F-GBOL_2022-03-17_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-12,2022-03-12 11:05:35.985000+00:00,2022-03-12 17:15:27.786000+00:00,Port Bouet Airport,Paris-Le Bourget Airport,6h10min,369.85,29.0,4880.0,CI,FR,Port Bouet Airport - Paris-Le Bourget Airport,DIAP,LFPB,5.267303,-3.923376,48.964482,2.436218,7.0,46.0,output\F-GBOL\2022-03-12\leg_1\F-GBOL_2022-03-12_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-11,2022-03-11 09:40:11.731000+00:00,2022-03-11 15:59:16.231000+00:00,Paris-Le Bourget Airport,Port Bouet Airport,6h19min,379.07,29.7,4880.0,FR,CI,Paris-Le Bourget Airport - Port Bouet Airport,LFPB,DIAP,48.964142,2.429528,5.26712,-3.923423,49.0,9.0,output\F-GBOL\2022-03-11\leg_1\F-GBOL_2022-03-11_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-02-22,2022-02-22 13:20:28.619000+00:00,2022-02-22 19:20:33.518000+00:00,Cadjehoun Airport,Paris-Le Bourget Airport,6h00min,360.07,28.2,4718.0,BJ,FR,Cadjehoun Airport - Paris-Le Bourget Airport,DBBB,LFPB,6.401072,2.342692,48.964508,2.436218,1760.0,52.0,output\F-GBOL\2022-02-22\leg_1\F-GBOL_2022-02-22_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-02-21,2022-02-21 07:14:09.016000+00:00,2022-02-21 13:01:29.316000+00:00,Paris-Le Bourget Airport,Cadjehoun Airport,5h47min,347.33,27.2,4724.0,FR,BJ,Paris-Le Bourget Airport - Cadjehoun Airport,LFPB,DBBB,48.97229,2.451782,6.356106,2.38369,63.0,1471.0,output\F-GBOL\2022-02-21\leg_1\F-GBOL_2022-02-21_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-02-17,2022-02-17 16:42:12.851000+00:00,2022-02-17 17:37:57.751000+00:00,Quimper-Cornouaille Airport,Paris-Le Bourget Airport,56min,55.73,4.4,502.0,FR,FR,Quimper-Cornouaille Airport - Paris-Le Bourget Airport,LFRQ,LFPB,47.975189,-4.183319,48.964554,2.436641,383.0,46.0,output\F-GBOL\2022-02-17\leg_1\F-GBOL_2022-02-17_leg_1.csv
