propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 14:00:26.800000+00:00,2022-07-18 14:49:44.300000+00:00,Paris-Le Bourget Airport,Saint-Nazaire-Montoir Airport,49min,49.28,2.1,388.0,FR,FR,Paris-Le Bourget Airport - Saint-Nazaire-Montoir Airport,LFPB,LFRZ,48.964808,2.443157,47.312576,-2.147415,130.0,0.0,output\F-HJJJ\2022-07-18\leg_1\F-HJJJ_baro_2022-07-18_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 14:00:26.800000+00:00,2022-07-18 14:49:44.300000+00:00,Paris-Le Bourget Airport,Saint-Nazaire-Montoir Airport,49min,49.28,2.1,388.0,FR,FR,Paris-Le Bourget Airport - Saint-Nazaire-Montoir Airport,LFPB,LFRZ,48.964808,2.443157,47.312576,-2.147415,130.0,0.0,output\F-HJJJ\2022-07-18\leg_1\F-HJJJ_baro_2022-07-18_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-17,2022-07-17 20:31:00.500000+00:00,2022-07-17 22:26:51.200000+00:00,Naples International Airport,Paris-Le Bourget Airport,1h56min,115.83,6.0,1295.0,IT,FR,Naples International Airport - Paris-Le Bourget Airport,LIRN,LFPB,40.884596,14.287782,48.964691,2.423471,76.0,0.0,output\F-HVBL\2022-07-17\leg_3\F-HVBL_baro_2022-07-17_leg_3.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-17,2022-07-17 20:05:26.400000+00:00,2022-07-18 01:36:20.314000+00:00,Paris-Le Bourget Airport,King Khaled International Airport,5h31min,330.88,25.9,4662.0,FR,SA,Paris-Le Bourget Airport - King Khaled International Airport,LFPB,OERK,48.964854,2.442217,24.954534,46.715922,25.0,1052.0,output\F-HMBY\2022-07-17\leg_1\F-HMBY_baro_2022-07-17_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-17,2022-07-17 18:04:19.200000+00:00,2022-07-17 19:57:41.400000+00:00,Paris-Le Bourget Airport,Naples International Airport,1h53min,113.37,5.9,1138.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.964621,2.437519,42.24448,13.486548,18.0,4831.0,output\F-HVBL\2022-07-17\leg_2\F-HVBL_baro_2022-07-17_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-17,2022-07-17 16:04:58.800000+00:00,2022-07-17 17:19:38.400000+00:00,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h15min,74.65,3.9,713.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.111376,6.184387,48.963411,2.418871,797.0,23.0,output\F-HVBL\2022-07-17\leg_1\F-HVBL_baro_2022-07-17_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-14,2022-07-14 11:46:06.073000+00:00,2022-07-14 12:42:51.273000+00:00,London Luton Airport,Paris-Le Bourget Airport,57min,56.75,4.3,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.875207,-0.365143,48.964691,2.438261,76.0,-4.0,output\F-HFHP\2022-07-14\leg_1\F-HFHP_baro_2022-07-14_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-13,2022-07-13 15:33:44.724000+00:00,2022-07-13 16:19:07.124000+00:00,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,45min,45.37,2.0,387.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.311935,-2.150574,48.964295,2.431665,-18.0,8.0,output\F-HJJJ\2022-07-13\leg_2\F-HJJJ_baro_2022-07-13_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-13,2022-07-13 14:50:46.324000+00:00,2022-07-13 15:52:57.424000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h02min,62.18,3.2,711.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.970906,2.446771,43.123666,6.193216,10.0,198.0,output\F-HVBL\2022-07-13\leg_1\F-HVBL_baro_2022-07-13_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-13,2022-07-13 14:24:24.624000+00:00,2022-07-13 15:04:13.124000+00:00,Paris-Le Bourget Airport,Saint-Nazaire-Montoir Airport,40min,39.8,1.7,389.0,FR,FR,Paris-Le Bourget Airport - Saint-Nazaire-Montoir Airport,LFPB,LFRZ,48.97314,2.455011,47.312343,-2.148391,15.0,-53.0,output\F-HJJJ\2022-07-13\leg_1\F-HJJJ_baro_2022-07-13_leg_1.csv
